100,99,16000,198,58700,297,74100,396,90800,495,110700,594,128400,693,140500,792,147600,891,154800,990,161900,1089,169100,1188,176400,1287,183700,1386,190900,1485,198400,1584,204900,1683,211500,1782,218900,1881,225800,1980,233300,2079,240300,2178,247300,2277,254500,2376,261800,2475,269100,2574,276100,2673,626100,2772,633000,2871,639500,2970,646300,3069,653500,3168,660500,3267,667000,3366,679500,3465,686600,3564,693400,3663,700500,3762,707800,3861,714600,3960,722000,4059,729100,4158,736400,4257,743300,4356,750200,4455,757600,4554,764900,4653,771300,4752,778300,4851,815500,4950,822400
200,199,11600,398,25100,597,39300,796,53200,995,74600,1194,88700,1393,103600,1592,118100,1791,131900,1990,146300,2189,160600,2388,178900,2587,193500,2786,208100,2985,222800,3184,237400,3383,251900,3582,266400,3781,280700,3980,295400,4179,310300,4378,324600,4577,343800,4776,358600,4975,373300,5174,387500,5373,402000,5572,416400,5771,430800,5970,445400,6169,458800,6368,473200,6567,487800,6766,502400,6965,517000,7164,531600,7363,546100,7562,560400,7761,575000,7960,589500,8159,604200,8358,618700,8557,633300,8756,647900,8955,662400,9154,676800,9353,691500,9552,706100,9751,720800,9950,735300
300,299,19700,598,39000,897,59600,1196,80200,1495,99600,1794,119000,2093,138000,2392,157400,2691,174100,2990,194700,3289,214700,3588,234500,3887,253600,4186,273200,4485,291800,4784,311200,5083,331200,5382,350500,5681,370400,5980,390400,6279,410700,6578,430000,6877,449100,7176,468500,7475,487800,7774,507600,8073,527500,8372,547200,8671,567200,8970,587200,9269,607500,9568,627500,9867,646300,10166,666100,10465,704000,10764,722900,11063,741800,11362,761200,11661,780900,11960,800200,12259,829400,12558,848600,12857,868000,13156,887700,13455,908300,13754,927900,14053,945900,14352,966500,14651,985700,14950,1005200
400,399,22300,798,44400,1197,66600,1596,88800,1995,111000,2394,133100,2793,155100,3192,177200,3591,199400,3990,221600,4389,246900,4788,272400,5187,298900,5586,325400,5985,351900,6384,378000,6783,403800,7182,430000,7581,456700,7980,482900,8379,508800,8778,530900,9177,556800,9576,582500,9975,612800,10374,634900,10773,656900,11172,680500,11571,702600,11970,724900,12369,748500,12768,770800,13167,792900,13566,822800,13965,847600,14364,869700,14763,891700,15162,915300,15561,937300,15960,959400,16359,989000,16758,1011100,17157,1033200,17556,1055300,17955,1077300,18354,1099300,18753,1121300,19152,1144900,19551,1167000,19950,1189100
500,499,29100,998,59100,1497,87100,1996,116800,2495,144500,2994,172000,3493,201700,3992,229200,4491,258900,4990,286500,5489,314100,5988,369800,6487,423800,6986,482300,7485,545500,7984,577900,8483,615800,8982,671400,9481,731700,9980,781400,10479,842300,10978,901200,11477,964700,11976,1038800,12475,1066400,12974,1094000,13473,1121600,13972,1149200,14471,1181200,14970,1249500,15469,1279600,15968,1307200,16467,1334700,16966,1362200,17465,1389700,17964,1417300,18463,1444900,18962,1472700,19461,1500200,19960,1527700,20459,1555400,20958,1583000,21457,1610600,21956,1641100,22455,1668700,22954,1696300,23453,1723900,23952,1751400,24451,1779000,24950,1830600
600,599,34000,1198,67200,1797,100300,2396,138000,2995,176800,3594,215900,4193,254900,4792,294400,5391,333200,5990,685000,6589,723900,7188,763000,7787,803000,8386,842400,8985,881300,9584,919900,10183,962200,10782,1029500,11381,1295100,11980,1338200,12579,1384200,13178,1429300,13777,1472600,14376,1514900,14975,1585600,15574,1625200,16173,1668000,16772,1709100,17371,1745500,17970,1782000,18569,1818700,19168,1858300,19767,1897300,20366,1939900,20965,1976600,21564,2015500,22163,2068400,22762,2111100,23361,2147400,23960,2187000,24559,2248100,25158,2287700,25757,2327600,26356,2367200,26955,2406200,27554,2475100,28153,2545500,28752,2621900,29351,2682800,29950,2744700
700,699,45900,1398,88300,2097,135300,2796,175200,3495,213800,4194,252500,4893,296700,5592,336400,6291,375100,6990,414400,7689,473500,8388,519500,9087,601700,9786,817700,10485,916000,11184,995900,11883,1055600,12582,1102300,13281,1150600,13980,1189400,14679,1228400,15378,1267100,16077,1305800,16776,1344500,17475,1386100,18174,1427700,18873,1466300,19572,1504900,20271,1544900,20970,1586600,21669,1625400,22368,1671800,23067,1729200,23766,1804300,24465,1885000,25164,1971100,25863,2058900,26562,2101000,27261,2139600,27960,2192400,28659,2231100,29358,2269800,30057,2308400,30756,2347200,31455,2385800,32154,2424400,32853,2468700,33552,2535200,34251,2622300,34950,2712000
800,799,44700,1598,93700,2397,137900,3196,182100,3995,229600,4794,273800,5593,318000,6392,362200,7191,414900,7990,513200,8789,608200,9588,704900,10387,789100,11186,836800,11985,880900,12784,925100,13583,972600,14382,1020100,15181,1064400,15980,1108600,16779,1152800,17578,1197000,18377,1241200,19176,1285400,19975,1337500,20774,1382100,21573,1426300,22372,1470500,23171,1514700,23970,1558800,24769,1602900,25568,1647100,26367,1691300,27166,1735400,27965,1779800,28764,1829300,29563,1873500,30362,1917600,31161,1961800,31960,2005900,32759,2050000,33558,2094200,34357,2138400,35156,2182600,35955,2226700,36754,2270800,37553,2315000,38352,2359200,39151,2403400,39950,2451100
900,899,50200,1798,103700,2697,157200,3596,210700,4495,264200,5394,313900,6293,373000,7192,483600,8091,594400,8990,656500,9889,744700,10788,795000,11687,848800,12586,909000,13485,985600,14384,1045800,15283,1095800,16182,1145900,17081,1202600,17980,1252500,18879,1308100,19778,1368400,20677,1418700,21576,1468600,22475,1593300,23374,1690500,24273,1749600,25172,1803400,26071,1853500,26970,1907300,27869,1977000,28768,2037000,29667,2096100,30566,2195300,31465,2290600,32364,2388000,33263,2485700,34162,2544000,35061,2603400,35960,2666500,36859,2727800,37758,2781300,38657,2831100,39556,2886800,40455,2940900,41354,3007700,42253,3057700,43152,3107600,44051,3169800,44950,3219700
1000,999,63200,1998,124100,2997,188200,3996,253700,4995,405200,5994,461700,6993,534900,7992,590400,8991,707800,9990,775700,10989,841200,11988,897000,12987,1045400,13986,1113400,14985,1169000,15984,1224600,16983,1296500,17982,1423000,18981,1486100,19980,1606600,20979,1732900,21978,1793100,22977,1853200,23976,1913000,24975,1972500,25974,2037800,26973,2113600,27972,2223700,28971,2283600,29970,2340300,30969,2412700,31968,2467900,32967,2524500,33966,2579800,34965,2645500,35964,2701500,36963,2821500,37962,2881700,38961,2937200,39960,2997200,40959,3074200,41958,3140200,42957,3206600,43956,3262300,44955,3321900,45954,3439000,46953,3503300,47952,3559100,48951,3614300,49950,3669500
